title,location,category,type,rating,price,price_label,image_url,link,id,created_date,updated_date,created_by_id,created_by,is_sample
"Walking Food Tour","Austin, TX","experience","","4.7","75","per person","https://dynamic-media.tacdn.com/media/photo-o/2f/0e/b0/96/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Austin/Secret-Food-Tours-Austin-Downtown/d5021-7812P106","68c9d9a97b0d970605c8122e","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Art Hotel Villa Agape","Florence, Italy","hotel","","4.6","195","per night","https://images.trvl-media.com/lodging/11000000/10510000/10507800/10507728/34e550c1.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/3afpr3zx","68c9d9a97b0d970605c8122f","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Seine River Sightseeing Cruise","Paris, France","experience","","4.5","18","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/ae/c2/d7/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Paris/Bateaux-Parisiens-Seine-River-Sightseeing-Cruise/d479-5756SIGHTSEEING","68c9d9a97b0d970605c81230","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Sheraton Grande Tokyo Bay Hotel","Tokyo, Japan","hotel","","4.6","215","per night","https://images.trvl-media.com/lodging/1000000/20000/13500/13403/60643589.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/5y7smyhd","68c9d9a97b0d970605c81231","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Cooking from a Chef Indian Cooking Class","New Delhi, India","experience","","4.9","45","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/eb/a3/9c/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/New-Delhi/Authentic-Indian-Cooking-Class/d804-10923P3","68c9d9a97b0d970605c81232","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Residenza La Musa Amarcord","Florence, Italy","hotel","","4.8","125","per night","https://images.trvl-media.com/lodging/20000000/19730000/19722800/19722799/c1de9144.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/mryhkrza","68c9d9a97b0d970605c81233","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Big Bus Hop-On Hop-Off Tour","Paris, France","experience","","4.4","42","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/ae/d3/a6/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Paris/Big-Bus-Paris-Hop-On-Hop-Off-Tour/d479-6602PARHOHO","68c9d9a97b0d970605c81234","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Royal Ramblas","Barcelona, Spain","hotel","","4.3","165","per night","https://images.trvl-media.com/lodging/1000000/10000/5500/5469/5af1bf90.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/3d7p26vv","68c9d9a97b0d970605c81235","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Louvre Eiffel Tower, Notre Dame, Cruise","Paris, France","experience","","4.8","150","per person","https://dynamic-media.tacdn.com/media/photo-o/30/95/69/85/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Paris/Paris-in-a-Day-with-Sainte-Chapelle-Orsay-and-River-Cruise/d479-46018P3","68c9d9a97b0d970605c81236","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Hotel Collodi","Florence, Italy","hotel","","4.3","110","per night","https://images.trvl-media.com/lodging/1000000/530000/521300/521251/469fa095.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/2nec65r4","68c9d9a97b0d970605c81237","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Brunelleschi's Dome and Cathedral","Paris, France","experience","","4.6","35","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/c9/85/e6/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/Florence-attractions/Florence-Duomo-Cattedrale-di-Santa-Maria-del-Fiori/d519-a746","68c9d9a97b0d970605c81238","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Daiwa Roynet Hotel","Tokyo, Japan","hotel","","4.4","180","per night","https://images.trvl-media.com/lodging/28000000/27050000/27048400/27048315/e01c0420.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/2tes48nh","68c9d9a97b0d970605c81239","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Cooking Class","Sorrento, Italy","experience","","4.8","95","per person","https://dynamic-media.tacdn.com/media/photo-o/2e/fb/97/f1/caption.jpg?w=1400&h=1000&s=1","https://www.viator.com/tours/Sorrento/Cooking-Class-in-Sorrento-Learn-The-Secrets-To-Cooking-Like-An-Italian-Chef/d947-352449P1","68c9d9a97b0d970605c8123a","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Eco Urban","Florence, Italy","hotel","","4.5","135","per night","https://images.trvl-media.com/lodging/20000000/19950000/19948700/19948675/09f37bfd.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/mty4fsuh","68c9d9a97b0d970605c8123b","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"La Torre Del Cestello","Florence, Italy","hotel","","4.7","160","per night","https://images.trvl-media.com/lodging/12000000/11930000/11925300/11925245/cd675d4c.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/nhez2j2z","68c9d9a97b0d970605c8123c","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Nove Guest House","Florence, Italy","hotel","","4.6","95","per night","https://images.trvl-media.com/lodging/121000000/120260000/120257200/120257122/8e933c22.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/3cvpyzjx","68c9d9a97b0d970605c8123d","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"La Residenza dell'Orafo","Florence, Italy","hotel","","4.8","175","per night","https://images.trvl-media.com/lodging/4000000/3620000/3617100/3617079/d83d49a3.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/43wznnt2","68c9d9a97b0d970605c8123e","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"The Social Hub Lavagnini","Florence, Italy","hotel","","4.5","155","per night","https://images.trvl-media.com/lodging/24000000/23200000/23198300/23198289/8ca48797.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/3rum8st6","68c9d9a97b0d970605c8123f","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Hotel Galileo","Florence, Italy","hotel","","4.4","120","per night","https://images.trvl-media.com/lodging/1000000/190000/187400/187333/80637ce6.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/8x5vwsku","68c9d9a97b0d970605c81240","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Antica Dimora Sant'Anna","Florence, Italy","hotel","","4.6","140","per night","https://images.trvl-media.com/lodging/95000000/95000000/94994400/94994316/5edcb217.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/mw8z2yx5","68c9d9a97b0d970605c81241","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"BYPILLOW Flamant","Barcelona, Spain","hotel","","4.4","140","per night","https://images.trvl-media.com/lodging/114000000/113580000/113570500/113570475/w1480h1002x0y0-450147b6.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/apuwmtbw","68c9d9a97b0d970605c81242","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Ohla Eixample","Barcelona, Spain","hotel","","4.6","195","per night","https://images.trvl-media.com/lodging/14000000/13100000/13095800/13095775/cad8e690.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/5a3dzekx","68c9d9a97b0d970605c81243","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Hotel España Ramblas","Barcelona, Spain","hotel","","4.3","155","per night","https://images.trvl-media.com/lodging/24000000/23920000/23914100/23914029/08daed29.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/nna5rwd3","68c9d9a97b0d970605c81244","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Arc la Rambla","Barcelona, Spain","hotel","","4.2","135","per night","https://images.trvl-media.com/lodging/1000000/570000/560400/560394/79f9746b.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/y2sr3w3n","68c9d9a97b0d970605c81245","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Shinjuku Washington Hotel Annex","Tokyo, Japan","hotel","","4.3","160","per night","https://images.trvl-media.com/lodging/8000000/7620000/7616300/7616260/bbab33c7.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/4rwzw472","68c9d9a97b0d970605c81246","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Marriott on the Falls","Niagara Falls, Canada","hotel","","4.5","240","per night","https://images.trvl-media.com/lodging/1000000/10000/1900/1801/00310731.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/mtf9khm7","68c9d9a97b0d970605c81247","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
"Harbour House","Niagara-on-the-Lake, Canada","hotel","","4.4","195","per night","https://images.trvl-media.com/lodging/2000000/1680000/1676000/1675928/26dcddd0.jpg?impolicy=resizecrop&rw=1200&ra=fit","https://tinyurl.com/mr3wafw2","68c9d9a97b0d970605c81248","2025-09-16T21:42:01.081000","2025-09-16T21:42:01.081000","68c5c91bb570f8ebd1fccae5","ahad.virani@gmail.com",""
